valor_1,valor_2,codigo,fecha
202,6647,ES425,24/02/2023
535,9812,OA565,25/09/2017
960,6500,TU978,19/12/2018
370,6557,OD976,24/05/2017
206,4179,FU882,06/03/2012
171,4838,EK739,06/08/2021
800,2873,PX210,18/10/2020
120,2083,BT343,23/11/2025
714,3422,TS902,05/02/2019
221,8897,FF890,28/02/2021
566,4675,RM163,02/11/2011
314,5180,VW182,13/10/2011
430,6316,NY280,14/05/2012
558,5975,XS926,01/03/2011
187,8696,WE786,09/06/2018
472,3391,PY339,30/01/2021
199,5218,CW621,09/06/2023
971,6207,MF038,16/10/2013
763,2614,YP234,11/03/2014
230,7677,CP087,10/03/2018
761,4971,DJ681,16/02/2014
408,5565,QD542,07/12/2023
869,5576,EX295,04/10/2017
443,6570,PN336,06/09/2013
591,8979,JP976,22/02/2022
513,8009,FI559,23/02/2025
905,2270,SD672,26/07/2021
485,6066,UW445,28/06/2017
291,4468,MO400,14/07/2014
376,8016,JV752,11/07/2024
260,8850,NU529,18/05/2014
559,3390,TF675,04/10/2021
413,9447,RD978,05/10/2015
121,5354,GH443,27/12/2021
352,6135,LO972,25/12/2018
847,8078,TW589,24/02/2025
956,8332,OS222,18/04/2021
660,9331,SM128,06/04/2025
574,7089,GY309,02/04/2012
158,8108,BL993,05/09/2017
610,5607,EY400,23/02/2022
781,4583,BZ057,27/11/2017
575,6073,RL097,02/07/2024
799,5075,CO265,27/02/2021
882,5906,FB684,24/09/2025
289,2289,UL598,30/03/2017
786,4480,BY823,28/12/2010
662,8614,XT188,15/05/2014
975,5252,PS770,01/01/2016
666,9415,NE153,30/07/2017
343,8771,UY665,06/06/2021
931,2278,GD089,27/10/2018
604,4924,MU244,26/03/2017
230,2580,PW063,17/09/2012
584,6958,IK569,22/08/2024
918,2253,NY861,17/03/2023
746,6276,HF004,19/08/2017
120,9997,FA661,24/12/2017
940,6776,TW168,09/07/2013
266,2824,KU253,20/11/2012
373,9676,KC708,01/06/2025
487,5832,HA269,09/09/2011
700,2699,TM587,20/04/2014
415,8709,WA109,20/09/2025
113,7445,BV108,20/07/2015
341,3380,KO992,15/04/2025
876,5896,GM301,14/05/2023
