vendedor_1,vendedor_2,producto,fecha
5,5,CONSOLA9,05/05/2024
4,7,SMARTWAT,01/07/2012
4,11,CELULAA01,24/07/2010
5,9,AIRE2200,03/03/2016
5,4,SMARTWAT,30/06/2015
3,4,IMPRES33,03/01/2015
5,4,CONSOLA9,17/02/2013
4,4,TV42,19/04/2012
6,8,CAMARAHD,06/03/2025
7,11,CAMARAHD,26/03/2022
2,6,LAPTOP15,14/12/2011
5,8,CONSOLA9,31/03/2023
5,4,IMPRES33,19/06/2019
6,12,AIRE2200,18/09/2010
4,6,IMPRES33,02/09/2010
6,6,TABLET10,07/02/2012
6,14,AIRE2200,27/11/2014
1,9,AIRE2200,21/03/2015
7,3,AIRE2200,02/05/2021
2,9,IMPRES33,03/07/2023
11,7,TV42,06/08/2010
4,3,DRONE99,03/08/2022
3,9,SMARTWAT,17/06/2014
8,10,TV42,29/07/2024
3,7,LAPTOP15,24/09/2025
3,8,TV42,23/03/2022
5,5,TABLET10,30/05/2019
8,10,CONSOLA9,11/12/2014
3,8,IMPRES33,28/01/2020
2,7,TV42,21/03/2023
5,4,CELULAA01,28/03/2016
3,5,SMARTWAT,23/02/2010
8,7,TABLET10,31/07/2013
10,7,CAMARAHD,29/08/2025
3,10,SMARTWAT,25/06/2019
2,9,CAMARAHD,19/08/2017
5,3,DRONE99,26/03/2016
7,11,LAPTOP15,27/06/2013
6,6,TV42,30/10/2014
6,12,SMARTWAT,20/07/2017
2,5,CELULAA01,17/04/2012
4,6,TABLET10,30/01/2012
9,5,SMARTWAT,10/07/2018
7,12,LAPTOP15,03/03/2012
11,3,SMARTWAT,19/01/2018
8,7,TABLET10,18/09/2017
3,2,IMPRES33,17/07/2023
2,9,TV42,07/12/2015
3,7,CELULAA01,22/12/2010
4,8,DRONE99,21/04/2020
5,7,SMARTWAT,10/01/2022
5,8,LAPTOP15,19/10/2012
4,7,AIRE2200,28/06/2018
3,5,SMARTWAT,08/10/2011
8,7,AIRE2200,20/05/2022
2,4,CONSOLA9,29/07/2016
1,3,TV42,06/02/2024
4,6,AIRE2200,15/11/2023
5,8,CONSOLA9,10/02/2018
4,9,CELULAA01,13/12/2022
3,8,TV42,25/04/2014
4,6,CONSOLA9,20/10/2025
8,6,TABLET10,24/07/2011
2,7,SMARTWAT,11/01/2011
2,8,SMARTWAT,31/10/2024
2,10,LAPTOP15,10/02/2015
7,7,LAPTOP15,28/06/2016
6,8,TV42,16/10/2011
7,5,LAPTOP15,23/03/2015
6,7,IMPRES33,07/04/2012
7,9,IMPRES33,11/07/2018
6,3,SMARTWAT,27/03/2016
4,6,CELULAA01,03/03/2020
2,4,DRONE99,04/04/2024
3,5,TABLET10,08/03/2018
4,8,AIRE2200,25/08/2013
7,4,CONSOLA9,21/04/2018
4,7,AIRE2200,20/12/2017
3,8,LAPTOP15,13/09/2014
2,7,IMPRES33,12/01/2025
6,12,CAMARAHD,28/12/2015
3,9,CAMARAHD,28/09/2025
5,6,TV42,01/05/2025
9,8,LAPTOP15,14/07/2024
6,8,TABLET10,08/08/2011
6,3,DRONE99,31/08/2023
9,10,DRONE99,29/03/2024
4,6,IMPRES33,02/11/2013
9,7,TV42,24/12/2021
2,6,DRONE99,29/06/2015
10,8,TABLET10,31/08/2013
6,8,AIRE2200,14/05/2020
9,5,CONSOLA9,06/07/2018
4,9,AIRE2200,21/01/2016
1,7,SMARTWAT,09/05/2024
6,12,CELULAA01,08/06/2025
8,6,AIRE2200,29/06/2022
6,5,SMARTWAT,05/12/2014
2,5,CAMARAHD,10/05/2025
3,4,LAPTOP15,10/04/2017
5,2,DRONE99,04/04/2011
3,8,IMPRES33,20/02/2015
3,9,IMPRES33,20/09/2010
5,12,IMPRES33,28/01/2017
6,10,LAPTOP15,31/12/2018
5,8,CONSOLA9,03/01/2016
3,15,CELULAA01,27/06/2011
5,2,TABLET10,25/09/2014
3,9,LAPTOP15,21/09/2022
3,2,CAMARAHD,21/01/2017
6,7,SMARTWAT,08/10/2014
5,8,IMPRES33,13/09/2024
6,6,TV42,13/03/2021
2,9,SMARTWAT,16/11/2018
4,4,AIRE2200,02/06/2024
7,12,CELULAA01,16/04/2020
6,7,AIRE2200,16/03/2013
5,3,CAMARAHD,10/12/2015
4,6,TABLET10,17/02/2013
3,11,CONSOLA9,14/07/2015
3,11,IMPRES33,04/08/2022
7,5,TV42,02/02/2022
7,7,CONSOLA9,23/11/2015
6,11,CAMARAHD,10/02/2023
6,8,CONSOLA9,11/08/2019
7,8,LAPTOP15,02/02/2023
8,6,SMARTWAT,16/12/2018
6,11,IMPRES33,13/02/2018
3,8,CAMARAHD,02/12/2014
7,10,CONSOLA9,07/02/2013
5,12,IMPRES33,06/06/2021
5,7,DRONE99,25/01/2021
7,4,AIRE2200,15/01/2012
4,2,DRONE99,21/01/2011
9,4,AIRE2200,17/06/2012
4,6,DRONE99,06/06/2013
5,7,SMARTWAT,28/01/2024
2,5,AIRE2200,03/08/2013
6,8,DRONE99,06/04/2025
3,14,CAMARAHD,21/06/2019
6,6,SMARTWAT,18/05/2023
2,4,AIRE2200,05/06/2011
3,6,DRONE99,19/08/2018
5,8,DRONE99,24/07/2018
3,3,TV42,14/05/2023
4,3,DRONE99,01/07/2020
5,6,CONSOLA9,13/11/2021
6,5,DRONE99,22/08/2015
3,4,SMARTWAT,30/05/2022
3,9,CAMARAHD,05/04/2010
4,11,CONSOLA9,04/04/2025
5,11,CELULAA01,27/07/2012
4,3,SMARTWAT,16/04/2025
2,7,TABLET10,16/01/2022
6,11,DRONE99,26/12/2015
6,3,AIRE2200,17/05/2024
8,6,CELULAA01,18/08/2017
1,9,CAMARAHD,02/07/2012
6,4,CAMARAHD,01/08/2016
2,9,CAMARAHD,02/10/2019
5,9,DRONE99,19/07/2013
2,8,TV42,05/03/2020
6,4,CONSOLA9,27/01/2010
4,12,TV42,28/11/2015
3,9,CONSOLA9,24/03/2021
5,7,SMARTWAT,03/01/2014
6,8,CELULAA01,21/05/2021
3,3,DRONE99,21/05/2012
4,7,CELULAA01,10/01/2024
8,2,CAMARAHD,10/09/2016
4,3,TV42,01/05/2024
10,7,LAPTOP15,21/05/2021
4,7,SMARTWAT,29/08/2023
5,6,CAMARAHD,18/06/2014
10,13,TV42,06/06/2013
3,10,CONSOLA9,22/05/2018
4,7,SMARTWAT,16/08/2013
7,5,TABLET10,05/02/2022
5,6,TV42,23/11/2021
10,8,IMPRES33,05/01/2010
4,7,CELULAA01,08/06/2023
2,8,IMPRES33,09/04/2017
3,7,SMARTWAT,16/12/2020
5,10,DRONE99,09/06/2010
8,5,SMARTWAT,05/07/2012
4,4,CONSOLA9,21/02/2018
3,10,IMPRES33,24/11/2016
8,11,CELULAA01,16/05/2015
6,13,DRONE99,20/04/2011
8,7,LAPTOP15,28/05/2015
3,4,TABLET10,22/09/2022
3,4,CONSOLA9,08/10/2011
5,9,TABLET10,03/12/2011
11,4,CAMARAHD,25/11/2020
7,11,CELULAA01,21/07/2011
4,9,TV42,12/12/2021
3,2,CONSOLA9,27/10/2012
8,4,DRONE99,17/11/2012
8,10,IMPRES33,18/10/2024
3,9,SMARTWAT,29/08/2020
3,2,IMPRES33,01/05/2022
6,7,CAMARAHD,14/09/2013
2,6,CELULAA01,12/12/2015
7,4,IMPRES33,01/11/2021
5,5,TV42,10/08/2023
5,5,TV42,29/06/2019
6,5,LAPTOP15,02/10/2014
1,10,TABLET10,04/02/2022
10,8,CELULAA01,22/06/2025
2,9,TV42,06/07/2014
5,10,SMARTWAT,28/12/2025
4,6,TABLET10,28/12/2016
5,6,TV42,13/12/2018
4,7,CAMARAHD,24/01/2025
5,6,CAMARAHD,29/07/2024
6,9,TV42,18/05/2018
1,8,SMARTWAT,29/10/2019
3,8,DRONE99,10/08/2021
2,9,AIRE2200,16/02/2020
5,11,CONSOLA9,18/09/2012
4,7,SMARTWAT,24/07/2015
